
2024/09/24 (14:10:54) | ===> btop++ v.1.4.0
2024/09/24 (14:10:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/24 (19:11:21) | ===> btop++ v.1.4.0
2024/09/24 (19:11:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/24 (19:48:35) | ===> btop++ v.1.4.0
2024/09/24 (19:48:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (14:32:16) | ===> btop++ v.1.4.0
2024/09/25 (14:32:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/26 (13:53:18) | ===> btop++ v.1.4.0
2024/09/26 (13:53:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (16:11:34) | ===> btop++ v.1.4.0
2024/09/29 (16:11:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (21:13:28) | ===> btop++ v.1.4.0
2024/09/29 (21:13:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (19:56:44) | ===> btop++ v.1.4.0
2024/09/30 (19:56:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (08:46:42) | ===> btop++ v.1.4.0
2024/10/01 (08:46:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (22:16:46) | ===> btop++ v.1.4.0
2024/10/04 (22:16:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (23:35:02) | ===> btop++ v.1.4.0
2024/10/07 (23:35:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (17:47:29) | ===> btop++ v.1.4.0
2024/10/08 (17:47:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (22:16:33) | ===> btop++ v.1.4.0
2024/10/09 (22:16:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (22:06:59) | ===> btop++ v.1.4.0
2024/10/10 (22:06:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (18:53:18) | ===> btop++ v.1.4.0
2024/10/19 (18:53:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (19:08:29) | ===> btop++ v.1.4.0
2024/10/19 (19:08:29) | WARNING: Intel GPU: Failed to initialize PMU

